date,lastSyncTime,steps,distance,runDistance,calories
2020-09-10,1601493286,5140,3760,336,134
2020-09-11,1601493278,3739,2813,151,104
2020-09-12,1601493283,8923,6503,296,221
2020-09-13,1601493288,7510,5700,281,208
2020-09-14,1601493287,8096,6094,166,216
2020-09-15,1601493280,3044,2202,270,83
2020-09-16,1601493289,7553,5820,390,208
2020-09-17,1601493282,2661,2011,207,77
2020-09-18,1601493290,2076,1476,226,58
2020-09-19,1601493287,6276,4655,255,170
2020-09-20,1601493279,5372,3991,290,145
2020-09-21,1601493281,1971,1386,159,57
2020-09-22,1601493281,4763,3509,92,126
2020-09-23,1601493292,3814,2862,188,106
2020-09-24,1601493283,5320,4061,158,152
2020-09-25,1601493285,5084,3814,248,142
2020-09-26,1601493291,13725,10217,295,369
2020-09-27,1601493279,9086,6812,158,241
2020-09-28,1601493280,1951,1458,91,58
2020-09-29,1601493284,4241,3207,92,115
2020-09-30,1601621162,3735,2777,225,101
2020-10-01,1601621164,3992,3089,133,115
2020-10-02,1601818226,3439,2460,303,99
2020-10-03,1601818227,6598,4852,266,173
2019-01-01,1546385038,17308,13526,300,491
2019-01-02,1547677379,16077,12751,367,498
2019-01-03,1547677381,6392,4954,157,187
2019-01-04,1547677377,5222,4099,156,155
2019-01-05,1547677379,13894,10975,287,422
2019-01-06,1547677378,2293,1807,71,69
